Epochs,Train 1pit_multi_loss,Val 1pit_multi_loss,Train si_sdr,Train accuracy_metric,Train probnorm_acc_metric,Val si_sdr,Val accuracy_metric,Val probnorm_acc_metric
1,0.04645539481379092,0.03936533868312836,-18.847869403839113,49.0125,0.4921228195130825,-19.37009620666504,46.05,0.46255996119976045
2,0.03684700359404087,0.037402911707758904,-17.805469846725465,52.525,0.5273613888025284,-16.117668827056885,55.85,0.5608428130149842
3,0.03494730857014656,0.0361842401176691,-16.028735511779786,55.95,0.5617563860714435,-15.500659416198731,56.85,0.5708370988368988
4,0.016045530479867013,0.01360011188313365,4.181273487478495,85.91875,0.8599821278899908,7.972424947738648,95.125,0.9515285661816597
5,0.009795495322905481,0.011266214463859796,10.3695305788517,96.9,0.9691757109761238,10.055862747192382,96.375,0.9639571389555931
6,0.008207991810981185,0.010243111364543438,11.944260931968689,98.25,0.9825992838442326,10.880963077545166,97.525,0.9753914259076119
7,0.007419734176248312,0.009428362283855676,12.811251564502715,98.8375,0.988441427320242,11.548381814956665,98.7,0.9870742843151092
8,0.006788435753434897,0.008874314025044442,13.51012437438965,99.14375,0.9914864276498556,12.095030269622804,98.075,0.9808599979281426
9,0.006320018715457991,0.009031865576282144,14.053549510002137,99.5625,0.9956499995291233,11.737768106460571,98.175,0.9818542837500572
10,0.005987474026624113,0.008155211102217437,14.433112151145934,99.75625,0.997576428309083,12.749327705383301,99.0,0.9900571417808532
11,0.005910862390650437,0.00790556101128459,14.575151765823364,99.7125,0.9971414282619954,12.984979961395263,98.8,0.9880685701370239
12,0.0056442927913740275,0.007826895033940674,14.903048268318177,99.8625,0.9986328569948674,12.893729587554931,99.275,0.9927914277911186
13,0.005417706509819254,0.008056011751294136,15.198115159988403,99.8625,0.9986328569948674,12.792809036254884,98.9,0.9890628559589386
14,0.0053500943137332795,0.007436716036871076,15.306725009918212,99.8875,0.998881428450346,13.410968963623047,99.15,0.9915485705137252
15,0.0052625427544116974,0.00774585922434926,15.434350229263305,99.89375,0.9989435713142156,13.186379112243653,99.075,0.9908028561472892
16,0.005149892734829337,0.007135234976187349,15.577182153701782,99.93125,0.9993164284974336,13.656790260314942,99.175,0.991797141969204
17,0.005005797663936391,0.007155332928523422,15.779091903686524,99.95625,0.9995649999529124,13.677497135162353,98.775,0.9878199986815452
18,0.004901381451869384,0.0070509419981390235,15.936473743438722,99.9625,0.999627142816782,13.8406495552063,99.225,0.9922942848801612
19,0.004806216028518975,0.006830287322402,16.07197675037384,99.98125,0.999813571408391,14.033577739715577,99.3,0.9930399992465972
20,0.004767822411144152,0.0069769511129707095,16.13679556655884,99.9625,0.999627142816782,13.877675518035888,99.375,0.9937857136130333
21,0.004679834682960063,0.006774618349969387,16.288875738143922,99.975,0.9997514285445214,14.117194332122804,99.6,0.9960228567123413
22,0.004680639159167186,0.006898523437790573,16.290585577964784,99.9625,0.999627142816782,13.973100708007813,99.075,0.9908028561472892
23,0.004782322591170668,0.006712210552766919,16.161418319702147,99.925,0.999254285633564,14.182113296508788,99.375,0.9937857136130333
24,0.005070938195101917,0.007284579636529088,15.768405675888062,99.78125,0.9978249997645616,13.662636734008789,99.075,0.9908028561472892
25,0.004781337248161435,0.006934185273014009,16.154949759483337,99.93125,0.9993164284974336,13.937627353668212,99.475,0.994779999434948
26,0.004736876608571037,0.0065903112394735215,16.23818288230896,99.925,0.999254285633564,14.305586109161377,99.725,0.9972657139897346
27,0.004763702569995075,0.007065742683596909,16.201764468193055,99.9125,0.9991299999058246,13.940621044158936,99.325,0.993288570702076
28,0.004676744722295552,0.006632592523470521,16.32473305606842,99.93125,0.9993164284974336,14.288317447662353,99.775,0.997762856900692
29,0.004732362629612908,0.006560748720541597,16.260076257705688,99.9125,0.9991299999058246,14.375741359710693,99.525,0.9952771423459053
30,0.004587380973622203,0.006595128308050335,16.463878206253053,99.94375,0.999440714225173,14.366448211669923,99.55,0.995525713801384
31,0.004440907697193325,0.006583429920487106,16.675152364730835,99.96875,0.9996892856806516,14.347028915405273,99.5,0.9950285708904266
32,0.004637807309627533,0.006545402298681438,16.42723020553589,99.83125,0.998322142675519,14.392238162994385,99.675,0.9967685710787774
33,0.004643998375860974,0.006431454828009009,16.413019783973695,99.88125,0.9988192855864764,14.482378185272216,99.725,0.9972657139897346
34,0.004662521324120462,0.0063222728911787275,16.37589255428314,99.90625,0.999067857041955,14.601173751831055,99.75,0.9975142854452134
35,0.004567340582842007,0.006513312861323357,16.510611862182618,99.95,0.9995028570890426,14.466211448669434,99.25,0.99254285633564
36,0.004457629236625508,0.006288809543475509,16.65904316520691,99.90625,0.999067857041955,14.715935981750489,99.3,0.9930399992465972
37,0.0043234223870094865,0.006146388612687587,16.86083718109131,99.9625,0.999627142816782,14.848184551239013,99.575,0.9957742852568626
38,0.004243506548460573,0.006127633834257722,16.992331441879273,99.96875,0.9996892856806516,14.815035598754882,99.775,0.997762856900692
39,0.004195741892093792,0.0060273870443925265,17.07620177268982,99.975,0.9997514285445214,14.937345455169678,99.75,0.9975142854452134
40,0.004160583862802014,0.006001134365797043,17.129344659805298,99.9875,0.9998757142722606,14.924887565612792,99.8,0.9980114283561706
41,0.004137201375560835,0.005992553010582924,17.177098049163817,99.9875,0.9998757142722606,14.94947968673706,99.775,0.997762856900692
42,0.004124422214692458,0.00599038683064282,17.207047664642335,99.9875,0.9998757142722606,14.99401900100708,99.725,0.9972657139897346
43,0.004093615601304918,0.005965380858629942,17.25297165584564,99.9875,0.9998757142722606,14.996442092895508,99.75,0.9975142854452134
44,0.004077622445533052,0.005946277927607298,17.286094820976256,100.0,1.0,15.006895561218261,99.8,0.9980114283561706
45,0.004056761943968013,0.006081205570138991,17.318836082458496,99.99375,0.9999378571361304,14.905996913909911,99.65,0.9965199996232986
46,0.0040462565782945605,0.005951512468978763,17.33746435546875,99.99375,0.9999378571361304,15.04509047317505,99.825,0.9982599998116494
47,0.004029520500451326,0.005875611843541265,17.376078835487366,99.9875,0.9998757142722606,15.096241550445557,99.875,0.9987571427226066
48,0.0040100060338154435,0.006001855792477727,17.404389563560485,99.9875,0.9998757142722606,14.929612892150878,99.775,0.997762856900692
49,0.003994756517931819,0.005957569816149771,17.431414996147154,99.9875,0.9998757142722606,15.008647666931152,99.775,0.997762856900692
50,0.003973092099651694,0.005873505445197225,17.472117489814757,99.98125,0.999813571408391,15.050583316802978,99.8,0.9980114283561706
51,0.003965621636714787,0.0060006317878142,17.487700484275816,99.9875,0.9998757142722606,14.991683345794678,99.55,0.995525713801384
52,0.003955963479820639,0.005882636485621333,17.50283720111847,99.99375,0.9999378571361304,15.077765464782715,99.825,0.9982599998116494
53,0.003958650919608772,0.005925172035582364,17.49819059371948,100.0,1.0,15.020381156921387,99.75,0.9975142854452134
54,0.003925686159636826,0.00582942980248481,17.555691539764403,100.0,1.0,15.11248324584961,99.8,0.9980114283561706
55,0.0039169402131810785,0.005872001430951059,17.575487538337708,99.99375,0.9999378571361304,15.13486375427246,99.725,0.9972657139897346
56,0.003908251851797104,0.0058779078954830765,17.590212244033815,99.99375,0.9999378571361304,15.127433689117431,99.75,0.9975142854452134
57,0.003895465999376029,0.005806018868461251,17.614749207496644,100.0,1.0,15.147512168884278,99.8,0.9980114283561706
58,0.0038825588973704726,0.005953271844424307,17.63928516578674,99.9875,0.9998757142722606,15.019006965637207,99.725,0.9972657139897346
59,0.0038792567246127875,0.005810013431124389,17.6476945104599,100.0,1.0,15.163906414031983,99.8,0.9980114283561706
