Epochs,Train 1pit_multi_loss,Val 1pit_multi_loss,Train si_sdr,Train accuracy_metric,Train probnorm_acc_metric,Val si_sdr,Val accuracy_metric,Val probnorm_acc_metric
38,0.005987474237103016,0.006453222640978291,24.698836504618328,92.57916666666667,0.9263397166033586,24.828722872632614,92.48670212765957,0.9254201840054481
39,0.006154001812916249,0.00723114267283892,24.58105897394816,92.14166666666667,0.9219932641386985,24.508703881121697,92.0877659574468,0.9214608582885976
40,0.006297842702052246,0.006417848363003516,24.55870667521159,92.075,0.9213347539107005,24.958868726770927,92.02127659574468,0.92079095867403
41,0.0060328017089826365,0.0066366606922027595,24.797993530273438,92.2625,0.9231924999058246,24.654867923006098,92.63630319148936,0.9269124401455864
42,0.005970572580428173,0.0077822437885148015,24.7170405960083,92.46666666666667,0.9252181674043337,24.019058080429726,89.77726063829788,0.8985122425204262
43,0.00626521970750764,0.006460171002161471,24.308882214864095,92.05833333333334,0.9211655775705974,24.74689839748626,91.85505319148936,0.9191412396253423
44,0.0061038606294120355,0.006647605175261405,24.51769220352173,92.25,0.9230684410333634,24.593775688333714,91.32313829787235,0.9138621386695416
45,0.005673336974189927,0.006391044512287059,24.973261624654135,92.60416666666667,0.9265840698381265,25.05366919903045,92.47007978723404,0.9252527091018063
46,0.005938030334189534,0.00651755402461586,24.75404440053304,92.31666666666666,0.9237357351183891,24.694881855173314,92.05452127659575,0.9211234054825408
47,0.006046780576619009,0.00632972985275704,24.667691195170086,92.43333333333334,0.9248948727647464,25.105308116750514,92.33710106382979,0.9239429458579484
48,0.00549231439239035,0.006123340095423082,25.090891621907552,92.80416666666666,0.9285740311443805,25.085643677001304,92.88563829787235,0.9293895217173911
49,0.005524373317292581,0.0064158936172347275,25.064093485514324,92.97916666666667,0.9303114827771981,24.910892557590564,92.33710106382979,0.92392792786531
50,0.005562680396561821,0.0062251145415196316,25.152479309082032,92.99583333333334,0.9304762671887875,24.954358192200356,91.92154255319149,0.9198036302435906
51,0.0054381608323504525,0.006008384896670171,25.18175326792399,93.05,0.9310126007994016,25.325312269494887,92.81914893617021,0.9287196221028237
52,0.005283807759949317,0.006801391985797462,25.342457466125488,92.84166666666667,0.9289462077617645,24.607142894826037,92.35372340425532,0.9240979057677249
53,0.005703234766609967,0.006731477065105982,24.919516953786214,92.7,0.9275402072072029,24.43725810152419,91.87167553191489,0.9193087145289842
54,0.005734022115202,0.00608248213130208,24.894581428527832,92.2625,0.9231968918343385,25.200551925821507,92.85239361702128,0.9290495659125612
55,0.005526200378624102,0.006217544616640922,25.199786799112957,92.64583333333333,0.927005128433307,25.10330944872917,92.2872340425532,0.9234455271445691
56,0.005779193390005578,0.007223494993671378,24.861784472147622,92.3875,0.924439362814029,23.855504583805164,91.75531914893617,0.9181639231899952
57,0.00550012196895356,0.006365235511614802,25.127619499206542,92.80416666666666,0.9285727763076623,25.127294920860454,93.0684840425532,0.931186691679536
58,0.0052790598515421155,0.006135606715960943,25.455463287353517,93.05833333333334,0.9310990712245305,25.31711042688248,93.28457446808511,0.9333463444354686
59,0.00528404189987729,0.006427229075578656,25.503264383951823,93.22083333333333,0.9327124639848868,25.028549742191395,92.61968085106383,0.9267399592443983
60,0.004954945770092308,0.006106059564193314,25.719708035786947,93.4375,0.9348603081007798,25.27409972535803,92.96875,0.9302018662478696
61,0.005339407448967298,0.005999414344377657,25.353213483174642,93.07083333333334,0.9312174833317598,25.253516298659303,92.71941489361703,0.9277398026687034
62,0.005421815479329477,0.006078755792646491,25.31258509953817,93.01666666666667,0.9306874239047368,25.22393492434887,92.76928191489361,0.9282272093869904
63,0.005116121935813378,0.006147997123758963,25.611771456400554,93.37916666666666,0.9342807392776012,25.46186419750782,92.96875,0.9302068722454158
64,0.005078003763997307,0.005879278868149491,25.722063058217365,93.40833333333333,0.9345695825616519,25.39682917899274,91.40625,0.9146694772024738
65,0.005157292216084897,0.006220070012359622,25.654054176330565,93.42916666666666,0.9347776021858056,25.24848475354783,92.65292553191489,0.927069903054136
66,0.005236406456523885,0.006502690772709259,25.41226975504557,92.5,0.9255477362275124,24.867549612167032,91.14029255319149,0.9120574597110773
67,0.005248571914465477,0.005789853240477238,25.48072690327962,92.82083333333334,0.9287413252294063,25.547821318849604,93.25132978723404,0.9330113946281849
68,0.004906888060116519,0.005815844994627851,25.793906949361165,93.3125,0.9336209742128849,25.609256967585136,93.38430851063829,0.9343311698671352
69,0.004644881570401291,0.005956286570661642,26.02053193918864,93.575,0.9362237008611362,25.558064054935535,93.53390957446808,0.9358234260072733
70,0.0047121414450618125,0.006088320283526356,26.035145937601726,93.45416666666667,0.9350263473490874,25.460079690243337,92.61968085106383,0.9267424622431715
71,0.004733018797977517,0.005575704931385538,25.993912859598794,93.68333333333334,0.93729950517416,25.790473603187724,93.41755319148936,0.9346636166756458
72,0.004734471632788579,0.005857176121393654,26.02444693247477,93.525,0.9357299750447273,25.519830987808554,92.88563829787235,0.9293845157198449
73,0.005033369715480755,0.005909252086371937,25.612985069274902,92.975,0.9302626007994016,25.37423521407107,93.0186170212766,0.9306967819624758
74,0.005133580300491303,0.006143973195960032,25.568369606018067,93.1125,0.9316303854882717,25.296667301908453,92.56981382978724,0.9262450435297921
75,0.004858034652968248,0.005519917169139978,25.82721545155843,93.5,0.9354824847181638,25.797429673215177,93.0684840425532,0.9311967036746284
76,0.004900715476988504,0.0064514026050753095,25.896511561075847,93.45,0.934983112136523,25.299978824371987,92.78590425531915,0.9283821692967669
77,0.004755154296600571,0.006071203674977407,26.017323919932046,93.8125,0.9385845839480559,25.255725657686273,92.55319148936171,0.9260800716249232
78,0.004877351321745664,0.005458598391727564,25.918860867818196,93.2125,0.9326291306515535,25.810090846203742,93.13497340425532,0.9318590942928766
79,0.004985460933453093,0.005809520983057929,25.939603187561037,93.45416666666667,0.9350257199307282,25.803758083505834,93.30119680851064,0.9335163223378836
80,0.004839184159878641,0.005671161831297139,26.006690485636394,93.3375,0.9338703467945257,25.76334215732331,92.53656914893617,0.9259176027188276
81,0.00441998938160638,0.005635336588230975,26.267182914733887,93.66666666666667,0.9371340933442116,25.821530930539396,93.05186170212765,0.9310392407660789
82,0.004360058780449132,0.005669557711139242,26.35206968688965,93.625,0.9367199363509814,25.8372544735036,93.26795212765957,0.9331763665330537
