Epochs,Train 1nll_loss,Val 1nll_loss,Train accuracy,Val accuracy
1,1.859078616835177,1.6542078997149612,25.146484375,34.28030303030303
2,1.2751454112585634,0.8358960842544382,48.291015625,74.24242424242425
3,0.734216614975594,0.5026707687612736,72.75390625,81.43939393939394
4,0.5335916987996825,0.2993371302657055,81.689453125,91.47727272727273
5,0.3939834898465051,0.2730785478188684,86.81640625,88.63636363636364
6,0.23650863611976547,0.1384547025399198,91.845703125,95.07575757575758
7,0.1999035433479861,0.15407812998587775,93.9453125,95.26515151515152
8,0.17955834656302727,0.6835734570040861,94.287109375,87.31060606060606
9,0.11697206598925902,0.0925945408484915,95.947265625,96.78030303030303
10,0.12550300202453002,0.10222769997081245,95.556640625,96.21212121212122
11,0.11510041199475296,0.1368998930687879,96.19140625,95.07575757575758
12,0.113371277095688,0.10250604741414818,96.533203125,97.72727272727273
13,0.11074127527582395,0.08275184041633221,96.044921875,97.91666666666667
14,0.09511668013892738,0.07703530283970847,96.435546875,96.40151515151516
15,0.08326582591462256,0.06871204975818969,96.923828125,97.91666666666667
16,0.07648401988074421,0.0803144811772465,97.021484375,97.1590909090909
17,0.08323893916069133,0.07113259016385727,97.16796875,98.10606060606061
18,0.06559870336213167,0.07285805212492114,97.65625,98.10606060606061
19,0.11353023746738553,0.0671753114973845,96.923828125,98.29545454545455
20,0.07308564488669222,0.06785482413160925,97.36328125,98.10606060606061
21,0.04047636559735997,0.07904214539821555,98.4375,95.83333333333333
22,0.048751033348278766,0.0803402581311317,98.095703125,97.34848484848484
23,0.1297604600461017,0.059686772100908926,96.728515625,98.86363636363636
24,0.04829968518286746,0.0681303198693147,98.291015625,97.53787878787878
25,0.06270741643753808,0.065408336455187,97.4609375,98.67424242424242
26,0.051178283324921636,0.05300894887447007,98.291015625,98.29545454545455
27,0.06967868141729058,0.05703663032134368,97.802734375,96.78030303030303
28,0.05209825346469109,0.05640625542235557,98.095703125,96.96969696969697
29,0.04458723706161648,0.053832726244247474,98.486328125,96.96969696969697
30,0.040617391705293264,0.05533644071334733,98.583984375,97.1590909090909
31,0.08538476586445749,0.16384424158648914,98.14453125,93.18181818181819
32,0.058714389971245576,0.0656184981829856,97.8515625,98.10606060606061
33,0.04371834366360869,0.054079352200023696,98.388671875,98.67424242424242
34,0.05743302480740431,0.06351352966981866,98.193359375,98.29545454545455
35,0.045951532807510825,0.04529706174894938,98.33984375,99.0530303030303
36,0.07785104057244137,0.05684984248490864,97.8515625,98.29545454545455
37,0.028739583014613837,0.04292089039233854,98.974609375,98.67424242424242
38,0.038362573368173114,0.03975117958003564,98.291015625,99.43181818181819
39,0.04107366764171809,0.05269794315767425,98.6328125,98.10606060606061
40,0.03745481686754183,0.04550981301999188,98.53515625,97.53787878787878
41,0.03854464065926118,0.5553911639918748,98.6328125,88.82575757575758
42,0.03859580178161162,0.052531210139880255,98.681640625,98.86363636363636
43,0.03034526616011906,0.04667524499846166,98.6328125,98.48484848484848
44,0.056381045755936235,0.04430090980603735,98.388671875,97.72727272727273
45,0.03928137585913813,0.0428975670435755,98.53515625,97.34848484848484
46,0.042866371765590376,0.045497437438459624,98.291015625,98.67424242424242
47,0.047817282128400085,0.044886435914014686,98.4375,99.43181818181819
48,0.027387847930529688,0.05718299137926043,98.6328125,98.67424242424242
49,0.04124549917721776,0.047588617532422946,98.53515625,99.0530303030303
50,0.05205370366564456,0.03764339101371532,98.486328125,99.43181818181819
