Epochs,Train 1pit_multi_loss,Val 1pit_multi_loss,Train si_sdr,Train accuracy_metric,Train probnorm_acc_metric,Val si_sdr,Val accuracy_metric,Val probnorm_acc_metric
1,0.04428800419531763,0.03963324644416571,-14.02409023809433,34.35625,0.345885825663805,-15.395265182495118,33.85,0.3408188965320587
2,0.03599108304642141,0.037731910653412346,-14.828332844734192,33.50625,0.3373651563823223,-15.585830684661865,36.025,0.36272440826892854
3,0.034829543355852366,0.036977058351039885,-15.01046813583374,38.5125,0.3877795262932777,-15.486291526794433,40.575,0.40855511677265166
4,0.0166077713300474,0.014255830390378832,4.211940672188997,77.93125,0.7809576763808728,7.567986669063568,87.275,0.8737401570081711
5,0.01097290300624445,0.013054918082430958,9.996665548443794,90.93125,0.910008857935667,8.582420689582825,89.325,0.8940393697023392
6,0.009473268311005086,0.012162722561508417,11.4682888879776,93.6875,0.9373533462285996,9.477328232765197,89.7,0.8977204720973968
7,0.00856969032343477,0.011293401377275586,12.35751023387909,94.95,0.9498740155696869,10.044830040931702,92.275,0.9232913383245468
8,0.007998798283748328,0.010819969810545444,12.931638648986816,95.6875,0.9572007872462273,10.422034582138062,92.875,0.9292716532945633
9,0.007625399126438424,0.010443727489560843,13.337636857032775,96.4,0.9642706691622734,10.935229236602783,92.725,0.9277598422765732
10,0.007269700232427567,0.010909573333337903,13.710669969081879,96.65625,0.9667982282340527,10.205975986480713,92.825,0.9287795273065567
11,0.006929104145849124,0.009960191151127219,14.063843668460846,96.95625,0.9697844487130642,11.094444417953492,94.225,0.9426850391626358
12,0.006574260429712013,0.009933913692831992,14.45109676361084,97.21875,0.9723956691920758,11.222856357574463,93.575,0.9362440942525864
13,0.0063925887695513665,0.010255544932559132,14.621168096542359,97.58125,0.9759931101500988,11.188065088272095,94.925,0.9496062990427018
14,0.006134762509725988,0.009305817123502492,14.950287903785705,97.65,0.9766712597608567,11.621603986740112,94.325,0.9436811021566391
15,0.005937005298445001,0.009212029727175832,15.168292632102967,97.925,0.9794045274853707,11.765248714447022,94.975,0.9501377950906753
16,0.0058691272283904255,0.009035000020638109,15.289118889808655,98.05625,0.980710629850626,12.026103332519531,96.35,0.963779527425766
17,0.0056358959041535855,0.008975083731114865,15.556106754302979,98.28125,0.9829429133236408,12.04034821510315,96.375,0.9640314959287644
18,0.005605537484167144,0.00849664750881493,15.599446710586548,98.30625,0.9831899605691433,12.524401542663574,96.2,0.9622913384437561
19,0.0054799429883714765,0.009024698216468096,15.774925021171569,98.5,0.9851122046709061,12.019262506484985,95.725,0.9575826770067215
20,0.005431661123875529,0.008743066839873791,15.817436842918395,98.5,0.9851141731739044,12.260424055099488,96.4,0.9642716534137726
21,0.005313750971108675,0.009382641037926078,15.984439887046815,98.75,0.9875944881439209,11.578817953109741,96.375,0.9640157479047775
22,0.005232322005322203,0.008605831699445845,16.099211432456972,98.6875,0.9869734251499176,12.359825695037841,97.1,0.9712283463478089
23,0.0050572673075366765,0.008722971718758344,16.33325403213501,98.9,0.98908366137743,12.185724773406982,96.425,0.964523621916771
24,0.005133390759117901,0.008605629378929735,16.232891198158264,98.95,0.9895797243714333,12.304417388916015,96.975,0.9699803148508072
25,0.005051410564919934,0.009190976817160844,16.34320616531372,98.90625,0.9891466535031795,11.815041551589966,96.2,0.9622913384437561
26,0.005106305261142552,0.00854700155183673,16.248001793861388,98.8125,0.9882165353894233,12.497766624450684,96.375,0.9640275589227676
27,0.004907553335884586,0.008470515467226505,16.53476364707947,99.025,0.9903228346109391,12.462371774673462,96.425,0.964523621916771
